Date,Open,High,Low,Close,Adj Close,Volume
2017-07-31,421.000000,488.799988,218.389999,439.269989,439.269989,1364069
2017-08-01,439.269989,974.710022,362.019989,551.590027,551.590027,44939867
2017-08-02,551.590027,635.729980,381.079987,405.920013,405.920013,39430900
2017-08-03,405.920013,414.380005,252.570007,253.130005,253.130005,39012988
2017-08-04,253.130005,294.839996,206.639999,220.300003,220.300003,26697590
2017-08-05,220.300003,241.869995,210.130005,241.869995,241.869995,19175891
2017-08-06,241.869995,411.559998,239.470001,322.600006,322.600006,89374025
2017-08-07,322.600006,388.339996,310.510010,343.429993,343.429993,65405748
2017-08-08,343.429993,349.929993,289.739990,301.170013,301.170013,31524578
2017-08-09,301.170013,312.529999,268.440002,274.480011,274.480011,26331114
2017-08-10,274.480011,352.529999,271.459991,326.260010,326.260010,37100135
2017-08-11,326.260010,344.589996,311.040009,316.000000,316.000000,13359671
2017-08-12,316.000000,317.690002,293.929993,295.149994,295.149994,13655828
2017-08-13,295.149994,329.769989,291.250000,300.029999,300.029999,19118045
2017-08-14,300.029999,307.420013,290.019989,297.359985,297.359985,11537495
2017-08-15,297.359985,309.359985,285.480011,299.679993,299.679993,10407736
2017-08-16,299.679993,449.750000,292.399994,445.190002,445.190002,72997662
2017-08-17,445.190002,777.539978,437.809998,689.830017,689.830017,350422575
2017-08-18,689.830017,965.479980,604.030029,738.539978,738.539978,382644710
2017-08-19,738.539978,849.159973,677.960022,719.270020,719.270020,176097781
2017-08-20,719.270020,749.650024,557.919983,605.219971,605.219971,137835348
2017-08-21,605.219971,734.159973,566.859985,684.599976,684.599976,127212595
2017-08-22,684.599976,710.849976,651.320007,674.080017,674.080017,44395029
2017-08-23,674.080017,701.109985,601.599976,619.830017,619.830017,47944401
2017-08-24,619.830017,664.739990,615.090027,632.479980,632.479980,32464569
2017-08-25,632.479980,638.559998,612.250000,621.429993,621.429993,18170375
2017-08-26,621.429993,651.880005,581.679993,616.289978,616.289978,40956416
2017-08-27,616.289978,626.640015,581.809998,591.109985,591.109985,19001371
2017-08-28,591.109985,596.559998,524.320007,544.739990,544.739990,43470346
2017-08-29,544.739990,613.179993,529.640015,580.340027,580.340027,47761724
2017-08-30,580.340027,609.229980,570.500000,592.590027,592.590027,27937832
2017-08-31,592.590027,653.559998,586.630005,628.729980,628.729980,37807706
2017-09-01,628.729980,645.799988,560.979980,572.650024,572.650024,36984224
2017-09-02,572.650024,622.729980,559.219971,609.849976,609.849976,27470981
2017-09-03,609.849976,611.500000,496.839996,519.299988,519.299988,39354607
2017-09-04,519.299988,560.219971,472.510010,546.739990,546.739990,30106018
2017-09-05,546.739990,657.299988,539.130005,647.640015,647.640015,54825116
2017-09-06,647.640015,718.919983,604.320007,667.559998,667.559998,70423045
2017-09-07,667.559998,698.489990,573.090027,605.659973,605.659973,65565655
2017-09-08,605.659973,610.280029,565.570007,586.239990,586.239990,24260056
2017-09-09,586.239990,586.809998,524.979980,556.900024,556.900024,27588948
2017-09-10,556.900024,590.169983,550.099976,556.020020,556.020020,19801627
2017-09-11,556.020020,577.619995,530.070007,536.960022,536.960022,22082978
2017-09-12,536.960022,538.979980,471.079987,506.489990,506.489990,35647701
2017-09-13,506.489990,515.580017,385.450012,386.489990,386.489990,43447407
2017-09-14,386.489990,454.209991,301.549988,428.880005,428.880005,81380795
2017-09-15,428.880005,470.700012,411.529999,443.209991,443.209991,35057627
2017-09-16,443.209991,450.880005,407.809998,439.070007,439.070007,16667495
2017-09-17,439.070007,492.489990,438.380005,486.029999,486.029999,33211175
2017-09-18,486.029999,548.130005,454.769989,530.599976,530.599976,50064941
2017-09-19,530.599976,530.640015,475.320007,477.250000,477.250000,49416655
2017-09-20,477.250000,484.720001,413.799988,416.130005,416.130005,34350076
2017-09-21,416.130005,434.170013,395.089996,409.630005,409.630005,26731878
2017-09-22,409.630005,436.140015,403.329987,430.309998,430.309998,15542354
2017-09-23,430.309998,434.339996,416.619995,421.190002,421.190002,14388923
2017-09-24,421.190002,458.179993,420.140015,450.850006,450.850006,23480486
2017-09-25,450.850006,463.549988,448.950012,449.559998,449.559998,14765728
2017-09-26,449.559998,468.640015,439.899994,464.140015,464.140015,30195113
2017-09-27,464.140015,481.589996,442.149994,458.149994,458.149994,34380897
2017-09-28,458.149994,459.630005,430.440002,440.549988,440.549988,21350204
2017-09-29,440.549988,454.850006,433.769989,435.950012,435.950012,24220359
2017-09-30,435.950012,440.559998,417.100006,418.049988,418.049988,24068045
2017-10-01,418.049988,432.220001,410.320007,419.679993,419.679993,30198291
2017-10-02,419.679993,420.690002,393.029999,401.410004,401.410004,17248218
2017-10-03,401.410004,403.220001,351.299988,355.750000,355.750000,46419226
2017-10-04,355.750000,368.140015,343.720001,354.399994,354.399994,38188747
2017-10-05,354.399994,374.540009,352.910004,363.220001,363.220001,19726320
2017-10-06,363.220001,368.170013,354.209991,359.809998,359.809998,11726397
2017-10-07,359.809998,363.790009,335.700012,343.519989,343.519989,22147895
2017-10-08,343.519989,343.950012,282.179993,312.429993,312.429993,42738393
2017-10-09,312.429993,350.109985,304.519989,317.190002,317.190002,40789265
2017-10-10,317.190002,320.540009,309.230011,314.209991,314.209991,19338916
2017-10-11,314.209991,331.109985,306.250000,310.559998,310.559998,32051057
2017-10-12,310.559998,324.320007,291.980011,320.109985,320.109985,36812373
2017-10-13,320.109985,327.540009,314.649994,321.670013,321.670013,21544074
2017-10-14,321.670013,323.380005,307.609985,314.100006,314.100006,11896226
2017-10-15,314.049988,317.850006,310.070007,313.940002,313.940002,8702010
2017-10-16,313.989990,399.859985,308.230011,367.839996,367.839996,88485919
2017-10-17,367.940002,374.160004,305.959991,338.720001,338.720001,40142126
2017-10-18,338.769989,339.000000,323.809998,329.660004,329.660004,17971549
2017-10-19,329.600006,333.910004,320.670013,326.029999,326.029999,14375667
2017-10-20,326.149994,329.130005,313.130005,322.119995,322.119995,10098593
2017-10-21,321.940002,358.269989,318.359985,325.880005,325.880005,31515652
2017-10-22,324.880005,329.970001,300.260010,312.049988,312.049988,20958214
2017-10-23,312.049988,337.420013,303.730011,322.279999,322.279999,25115720
2017-10-24,322.720001,331.410004,315.279999,329.470001,329.470001,11348229
2017-10-25,329.309998,350.730011,325.660004,335.679993,335.679993,23659411
2017-10-26,335.750000,373.459991,335.630005,363.839996,363.839996,45524489
2017-10-27,363.820007,420.869995,363.130005,417.220001,417.220001,67773673
2017-10-28,416.769989,523.080017,400.410004,451.910004,451.910004,259090603
2017-10-30,451.910004,482.579987,416.059998,444.929993,444.929993,87034115
2017-10-31,444.929993,456.299988,426.299988,435.480011,435.480011,43638797
2017-11-01,435.480011,546.109985,434.450012,529.880005,529.880005,122331291
2017-11-02,530.239990,593.679993,492.390015,562.789978,562.789978,170606048
2017-11-03,563.210022,686.210022,558.530029,626.039978,626.039978,212978833
2017-11-04,626.020020,641.549988,563.070007,614.260010,614.260010,136414146
2017-11-05,614.260010,637.289978,570.830017,625.719971,625.719971,88707513
2017-11-06,625.719971,656.750000,588.179993,588.679993,588.679993,99875447
2017-11-07,588.549988,617.440002,584.380005,603.260010,603.260010,43387451
2017-11-08,603.169983,644.200012,522.789978,617.409973,617.409973,129168410
2017-11-09,617.000000,675.390015,612.320007,650.090027,650.090027,88271349
2017-11-10,650.090027,1029.270020,647.390015,995.400024,995.400024,562027429
2017-11-11,989.869995,1414.140015,897.919983,1325.560059,1325.560059,404695851
2017-11-12,1325.560059,2694.370117,1187.010010,1374.390015,1374.390015,877406443
2017-11-13,1369.500000,1515.469971,1012.219971,1346.959961,1346.959961,361634817
2017-11-14,1346.959961,1374.760010,1186.560059,1251.630005,1251.630005,165309100
